videoname,cm_to_pixel_ratio
233 (1),20.826215450724597
234 (1),19.45006426724601
235 (1),19.556392816672506
236 (1),20.950238662125066
237 (1),19.87514150893019
238 (1),19.23773960214661
239 (1),20.775376049544807
